_id,title,description,duration,definition,publishedAt,madeForKids,category_id,tags,views
TOxF2YkpDpo,Tugas Saya Masuk Sarang Ter0r1s Internasional‼️Dipengg4l depan saya itu biasa..,#cantik #agenrahasia #seram #podcast,PT1H7M44S,hd,2023-08-22T04:20:00Z,False,24,"['Cantik', 'Agen rahasia', 'Bongkar', 'Wanita', 'Jagoan', 'Bela diri', 'Seram', 'Seru', 'Keren']",4935396
A8YAojVJ810,MasyaAllah it's a Blessed day #habibomar bin Hafidz,,PT10S,hd,2023-08-21T09:05:27Z,False,24,,3474200
-gVsrFIgx5A,WOI!! KAMI MASYARAKAT MINTA TANGGUNG JAWAB‼️🤣🤣🤣 - ORMAS - INDRO - PODCAST,#ormas #podcast #komedi,PT56M21S,hd,2023-08-20T03:45:00Z,False,24,"['LUCU', '17 AGUSTUS', 'NKRI', 'INDONESIA', 'UUS', 'INDRO WARKOP', 'DENNY CHANDRA', 'GILANG DIRGA', 'ARIEF DIDU', 'DEDDY CORBUZIER', 'PODCAST', 'DEBAT', 'KOMEDI', 'MERDEKA', 'PEMERINTAH', 'PEMILU', 'CALEG']",2614660
nUmRd3_lkhM,"BOKAP GUE EMANG ""GILA!"" BANGGA GUE MENANG TINJU DRPD LULUS KULIAH! El Rumi - Praz Teguh",#tinju #artis #podcast,PT41M24S,hd,2023-08-19T01:46:00Z,False,24,"['EL RUMI', 'AHMAD DHANI', 'DEWA 19', 'DUL JAELANI', 'PRAZ TEGUH', 'DEDDY CORBUZIER', 'JEFRI NICHOL', 'FIGHT', 'PODCAST', 'LUCU', 'KOMEDI', 'BOXING', 'TINJU', 'MUSIK']",1780749
cqd6SGKWAQw,YES!! AKHIRNYA INDRO KETEMU BONENG SETELAH WARKOP‼️- Deddy Corbuzier Podcast,#indro #warkop #boneng,PT1H5M16S,hd,2023-08-17T03:00:30Z,False,24,"['INDRO', 'WARKOP', 'Praz Teguh', 'BONENG', 'Lucu', 'Komedi', 'Ngakak', 'ketawa']",4403697
gx0QFAOnVGA,INI CIRI ORANG MAU KERASUKAN SETAN🤣‼️AWALNYA... - USTAD FAIZAR - Deddy Corbuzier Podcast,#ustad #faizar #jin,PT1H7M1S,hd,2023-08-16T04:20:00Z,False,24,,3974504
W_Ji-p_S6lE,ISLAM PUN GUE KAFIRKAN‼️ BENDERA I5IIS GUE TARUH KAMAR‼️ - SEREM GUE DULU DED‼️-Dery kasisolusi,#ilmu #agama #podcast,PT1H5M43S,hd,2023-08-15T04:20:00Z,False,24,"['Islam', 'Agama', 'Kasisolusi', 'Mantan', 'Ilmu']",2742188
KUmOddh_97o,Gimana Coba!?!🤣 Tiap seminar kaya gini nasib saya... 😂,,PT16S,hd,2023-08-13T11:18:47Z,False,24,,1072041
gEocfcT-010,KENAPA SEMUA ARTIS CALEG TA111KZ⁉️🤣🤣 KAMI DEMO!!! -ORMAS - Podcast,#sambo #caleg #ormas,PT30M35S,hd,2023-08-13T01:46:00Z,False,24,"['Artis', 'Caleg', 'Sambo', 'Lucu', 'Komedi', 'Rocky gerung']",3920014
cifBQOU71EY,"GUE KETEMBAK, DIA GUE TEMBAK‼️ JADI TEMBAK2AN🤣 - Jacklyn Chopper - Praz Teguh",#prazteguh #bangjack #polisi,PT46M17S,hd,2023-08-12T01:46:00Z,False,24,,837881
5EDZUMKJeSs,KAMI 30 PESERTA DITELANJ4NGI‼️MISS UNIVERSE INDONESIA WTH‼️- PODCAST,,PT52M9S,hd,2023-08-10T04:20:00Z,False,24,,7255487
